nbh_num,cat_1,cat_2,price_tier,likes,rating,CAD / ft²·month,Neighbourhood,Population 2016,Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),After-tax income: Average amount ($)
1,Chinese Restaurant,Buffet,1,37,7.2,4.015792327504405,West Humber-Clairville,33312,1117,5060,5445,13845,3990,4980,615,28066
1,Burger Joint,None,1,5,7.1,4.015792327504405,West Humber-Clairville,33312,1117,5060,5445,13845,3990,4980,615,28066
1,Mediterranean Restaurant,Turkish Restaurant,2,6,6.2,4.015792327504405,West Humber-Clairville,33312,1117,5060,5445,13845,3990,4980,615,28066
1,Sandwich Place,Fast Food Restaurant,1,1,6.2,4.015792327504405,West Humber-Clairville,33312,1117,5060,5445,13845,3990,4980,615,28066
1,Restaurant,None,2,17,6.6,4.015792327504405,West Humber-Clairville,33312,1117,5060,5445,13845,3990,4980,615,28066
2,Sandwich Place,Fast Food Restaurant,1,3,6.7,2.9166666666666665,Mount Olive-Silverstone-Jamestown,32954,7291,7090,5240,13615,3475,3560,300,24122
2,Fried Chicken Joint,None,1,0,6.4,2.9166666666666665,Mount Olive-Silverstone-Jamestown,32954,7291,7090,5240,13615,3475,3560,300,24122
2,Pizza Place,Restaurant,1,0,6.3,2.9166666666666665,Mount Olive-Silverstone-Jamestown,32954,7291,7090,5240,13615,3475,3560,300,24122
2,Pizza Place,None,1,1,6.1,2.9166666666666665,Mount Olive-Silverstone-Jamestown,32954,7291,7090,5240,13615,3475,3560,300,24122
3,Caribbean Restaurant,None,2,21,8.3,1.3333333333333337,Thistletown-Beaumond Heights,10360,3130,1730,1410,4160,1195,1880,350,28842
3,Indian Restaurant,None,1,3,6.7,1.3333333333333337,Thistletown-Beaumond Heights,10360,3130,1730,1410,4160,1195,1880,350,28842
3,Indian Restaurant,None,1,7,6.6,1.3333333333333337,Thistletown-Beaumond Heights,10360,3130,1730,1410,4160,1195,1880,350,28842
3,Pizza Place,None,1,2,6.2,1.3333333333333337,Thistletown-Beaumond Heights,10360,3130,1730,1410,4160,1195,1880,350,28842
3,Indian Restaurant,None,2,4,6.2,1.3333333333333337,Thistletown-Beaumond Heights,10360,3130,1730,1410,4160,1195,1880,350,28842
17,Café,None,1,37,8.8,2.652805651440957,Mimico (includes Humber Bay Shores),33964,4915,3505,3010,17695,4620,5160,565,43971
17,Indian Restaurant,None,2,32,8.7,2.652805651440957,Mimico (includes Humber Bay Shores),33964,4915,3505,3010,17695,4620,5160,565,43971
17,Sushi Restaurant,None,2,15,8.2,2.652805651440957,Mimico (includes Humber Bay Shores),33964,4915,3505,3010,17695,4620,5160,565,43971
17,Italian Restaurant,None,2,10,8.1,2.652805651440957,Mimico (includes Humber Bay Shores),33964,4915,3505,3010,17695,4620,5160,565,43971
17,Thai Restaurant,None,2,10,7.5,2.652805651440957,Mimico (includes Humber Bay Shores),33964,4915,3505,3010,17695,4620,5160,565,43971
19,Greek Restaurant,None,2,15,7.7,0.38930639398792655,Long Branch,10084,4584,1335,1130,4705,1520,1405,140,39000
19,Seafood Restaurant,None,3,6,8.3,0.38930639398792655,Long Branch,10084,4584,1335,1130,4705,1520,1405,140,39000
19,Wings Joint,Bar,1,23,7.1,0.38930639398792655,Long Branch,10084,4584,1335,1130,4705,1520,1405,140,39000
19,Pizza Place,None,1,25,7.5,0.38930639398792655,Long Branch,10084,4584,1335,1130,4705,1520,1405,140,39000
19,Café,Vegetarian / Vegan Restaurant,1,18,7.2,0.38930639398792655,Long Branch,10084,4584,1335,1130,4705,1520,1405,140,39000
21,Asian Restaurant,None,2,10,7.7,1.95,Humber Summit,12416,1570,2155,1720,4855,1315,2380,260,27334
21,Latin American Restaurant,None,2,15,7.5,1.95,Humber Summit,12416,1570,2155,1720,4855,1315,2380,260,27334
23,Japanese Restaurant,None,2,20,7.8,5.416666666666668,Pelmo Park-Humberlea,10722,2547,1745,1370,4645,1390,1590,205,33581
23,Italian Restaurant,None,2,8,6.5,5.416666666666668,Pelmo Park-Humberlea,10722,2547,1745,1370,4645,1390,1590,205,33581
23,Sandwich Place,Fast Food Restaurant,1,2,6.4,5.416666666666668,Pelmo Park-Humberlea,10722,2547,1745,1370,4645,1390,1590,205,33581
23,Bakery,None,1,6,5.7,5.416666666666668,Pelmo Park-Humberlea,10722,2547,1745,1370,4645,1390,1590,205,33581
26,Vietnamese Restaurant,None,2,19,8.0,1.6839378238341969,Downsview-Roding-CFB,35052,2337,5725,4340,15045,4380,5535,870,29774
26,Falafel Restaurant,None,1,9,8.0,1.6839378238341969,Downsview-Roding-CFB,35052,2337,5725,4340,15045,4380,5535,870,29774
