Address,Area,Rent,Latitude,Longitude
"1139 MORNINGSIDE AVE 37, Toronto, Ontario M1B0A7","3,500 Sqft Retail","$7,000 CAD / MONTH",43.6456634,-79.4749711
"480 Dundas St W 1/2Bsmt, Toronto, Ontario M5T1G9",1 Bath 0.023 ac Lot Size Commercial,"$3,800 CAD / MONTH",43.6533813,-79.3970697
"803 KING ST W, Toronto, Ontario M5V1N4","3,302 Sqft Retail",$69 CAD,43.6428481,-79.407235
"1225 Kennedy Rd 2000K1, Toronto, Ontario M1P 4Y1",0.009 ac Lot Size Commercial,"$2,900 CAD / MONTH",43.7561791,-79.2751536
"1270 Finch Ave W 2101, Toronto, Ontario M3J3J7",1 Bath 0.023 ac Lot Size Commercial,"$2,500 CAD / MONTH",43.765222,-79.488273
"1269 DUNDAS ST W 200, Toronto, Ontario M6J1H1","2,500 Sqft Retail","$7,500 CAD / MONTH",43.6492593,-79.424894
"668 SILVER STAR BLVD 213, Toronto, Ontario M1V5N1",2 Baths 700 Sqft Retail,"$1,700 CAD / MONTH",43.822589,-79.299781
"384 YONGE ST 20, Toronto, Ontario M5B1S8",257 Sqft Retail,"$1,388 CAD / MONTH",43.6596017,-79.3826697
"2828 Dundas St St W, Toronto, Ontario M6P1Y7",1 Bath 0.047 ac Lot Size Commercial,"$5,500 CAD / MONTH",43.6656659,-79.4637422
"1698 EGLINTON AVE W, Toronto, Ontario M6E2H5",945 Sqft Retail,"$2,888 CAD / MONTH",43.6967642,-79.4462269
"4675 Steeles Ave E 2D13, Toronto, Ontario M1V4S5",0.003 ac Lot Size Commercial,$900 CAD / MONTH,43.8239696,-79.302473
"1269 DUNDAS ST W Parking, Toronto, Ontario M6J1H1",Retail,$250 CAD / MONTH,None,None
"1269 DUNDAS ST W, Toronto, Ontario M6J1H1","8,200 Sqft Retail",$28 CAD,43.6492593,-79.424894
"45 CRANFIELD RD 9, Toronto, Ontario M4B3H6","2,825 Sqft Retail","$3,500 CAD / MONTH",43.7151008,-79.3087924
"14 ST ANDREW ST Main, Toronto, Ontario M5T1K6","1 Bath 1,000 Sqft Retail","$3,450 CAD / MONTH",43.6544457,-79.3996315
"1333 KENNEDY RD 4, Toronto, Ontario M1P2L6","1 Bath 8,600 Sqft Retail",$14 CAD,43.7619204,-79.2787646
"600 QUEENS QUAY BLVD W 111&112, Toronto, Ontario M5V3M3","3,000 Sqft Retail",$40 CAD,None,None
"1269 DUNDAS ST W 100, Toronto, Ontario M6J1H1","2,500 Sqft Retail","$5,900 CAD / MONTH",43.6492593,-79.424894
"85 CHURCH ST, Toronto, Ontario M5C2G2","2,416 Sqft Retail",$50 CAD,43.6517127,-79.3748594
"1707 BAYVIEW AVE, Toronto, Ontario M4G3C1","1 Bath 1,300 Sqft Retail","$6,200 CAD / MONTH",43.7081211,-79.3758706
"31 BALDWIN ST, Toronto, Ontario M5T1L1","2,574 Sqft Retail",$70 CAD,43.6558544,-79.3932809
"250 WELLINGTON ST W 133, Toronto, Ontario M5V3P6",615 Sqft Retail,"$3,800 CAD / MONTH",43.6451952,-79.3906811
"142 Davenport Rd 3, Toronto, Ontario M5R2H6",1 Bath 0.017 ac Lot Size Commercial,"$4,998 CAD / MONTH",43.6753773,-79.393884
"2351 KENNEDY (GROUND FLR) RD 105, Toronto, Ontario M1T3G9",500 Sqft Retail,"$1,800 CAD / MONTH",43.7847327,-79.2881438
"1194 WESTON RD W, Toronto, Ontario M6M4P4","1,500 Sqft Retail","$2,800 CAD / MONTH",43.6875044,-79.4915448
"828 COLLEGE ST, Toronto, Ontario M6G1C8","1,569 Sqft Retail","$3,300 CAD / MONTH",43.6546128,-79.4224791
"226 CARLTON ST Bsmt, Toronto, Ontario M5A2L1","1,300 Sqft Retail","$3,300 CAD / MONTH",43.6642046,-79.3693313
"941 KINGSTON RD, Toronto, Ontario M4E1S8","2,670 Sqft Retail",$29 CAD,43.6803081,-79.2879897
"1594 QUEEN ST W, Toronto, Ontario M6R1A8",450 Sqft Retail,"$1,500 CAD / MONTH",43.6398312,-79.4414131
"384 YONGE ST 49, Toronto, Ontario M5B1S8",723 Sqft Retail,"$2,090 CAD / MONTH",43.6596017,-79.3826697
"31 ELM ST, Toronto, Ontario M5G1H1","6,400 Sqft Retail",$40 CAD,43.6574583,-79.3831522
"1932 Queen St E, Toronto, Ontario M4L1H6",0.02 ac Lot Size Commercial,"$2,895 CAD / MONTH",43.6695324,-79.3033725
"3060 Dundas St W, Toronto, Ontario M6P 1Z7",0.023 ac Lot Size Commercial,"$2,600 CAD / MONTH",43.6656718,-79.471597
"348 QUEEN ST E, Toronto, Ontario M5A1T1","2 Baths 1,500 Sqft Retail","$6,000 CAD / MONTH",43.655765,-79.3643432
"41 LEBOVIC AVE A119, Toronto, Ontario M1L4V9",753 Sqft Retail,"$2,200 CAD / MONTH",43.7233319,-79.2889364
"507 QUEEN ST W Rear, Toronto, Ontario M5V2B4",2 Beds 1 Bath Retail,"$2,800 CAD / MONTH",None,None
"8 MIMICO AVE Main, Toronto, Ontario M8V1R1","1,100 Sqft Retail","$3,500 CAD / MONTH",43.6139127,-79.4897882
"203 MARKHAM RD, Toronto, Ontario M1J3C3","1,425 Sqft Retail","$2,800 CAD / MONTH",43.7437826,-79.2188905
"6210 FINCH AVE W B108, Toronto, Ontario M9V0A1","1,720 Sqft Retail",$35 CAD,None,None
"108 CORPORATE DR 7, Toronto, Ontario M1H3H9",250 Sqft Retail,"$1,100 CAD / MONTH",43.780773,-79.2474937
"6100 FINCH AVE W E105, Toronto, Ontario M9V0A1","1,565 Sqft Retail",$35 CAD,None,None
"2526 YONGE ST, Toronto, Ontario M4P2H7","1 Bath 2,689 Sqft Retail",$55 CAD,43.7127046,-79.3997892
"1576 KINGSTON RD, Toronto, Ontario M1N1S2","1,748 Sqft Retail","$2,700 CAD / MONTH",43.6904452,-79.2669104
"41, 43 Baldwin St, Toronto, Ontario M5T1L1",2 Baths 0.092 ac Lot Size Commercial,"$9,000 CAD / MONTH",43.6557848,-79.3937013
"473 COSBURN AVE Bsmnt, Toronto, Ontario M4J2N6",250 Sqft Retail,$675 CAD / MONTH,43.6926665,-79.3337886
"#2-3 -200 QUEENS QUAY E 2-3, Toronto, Ontario M5A4K9","2,398 Sqft Retail",$5 CAD,43.6462692,-79.3631878
"2409 YONGE ST G8, Toronto, Ontario M4P2E7","3,701 Sqft Retail",$35 CAD,43.7104084,-79.3986602
"2252 QUEEN ST E Main Fl, Toronto, Ontario M4E1G2","1,750 Sqft Retail",$39.8 CAD,None,None
"1301 BLOOR AVE #4, Toronto, Ontario M6H1P1",1 Bed 1 Bath Retail,"$2,200 CAD / MONTH",None,None
"1061 EGLINTON AVE W, Toronto, Ontario M6C2C9","3,000 Sqft Retail","$9,210 CAD / MONTH",43.6990639,-79.4334012
"2371 EGLINTON AVE E 2nd Fl, Toronto, Ontario M1K2P3",3 Beds 1 Bath Retail,"$1,800 CAD / MONTH",None,None
"108 CORPORATE DR 7, Toronto, Ontario M1H3H9",250 Sqft Retail,"$1,100 CAD / MONTH",43.780773,-79.2474937
"461 QUEEN ST E, Toronto, Ontario M5A1T6","2,400 Sqft Retail","$4,900 CAD / MONTH",43.6564489,-79.359767
