Address,Area,Rent,Latitude,Longitude
"1139 MORNINGSIDE AVE 37, Toronto ON",3500 ,7000,43.6456634,-79.4749711
"803 KING ST W, Toronto ON",3302 ,69 ,43.6428481,-79.407235
"1225 Kennedy Rd 2000K1, Toronto ON",0.009 ,2900,43.7561791,-79.2751536
"1269 DUNDAS ST W 200, Toronto ON",2500 ,7500,43.6492593,-79.424894
"384 YONGE ST 20, Toronto ON",257 ,1388,43.6596017,-79.3826697
"1698 EGLINTON AVE W, Toronto ON",945 ,2888,43.6967642,-79.4462269
"4675 Steeles Ave E 2D13, Toronto ON",0.003 ,900,43.8239696,-79.302473
"1269 DUNDAS ST W, Toronto ON",8200 ,28 ,43.6492593,-79.424894
"45 CRANFIELD RD 9, Toronto ON",2825 ,3500,43.7151008,-79.3087924
"600 QUEENS QUAY BLVD W 111&112, Toronto ON",3000 ,40 ,None,None
"1269 DUNDAS ST W 100, Toronto ON",2500 ,5900,43.6492593,-79.424894
"85 CHURCH ST, Toronto ON",2416 ,50 ,43.6517127,-79.3748594
"31 BALDWIN ST, Toronto ON",2574 ,70 ,43.6558544,-79.3932809
"250 WELLINGTON ST W 133, Toronto ON",615 ,3800,43.6451952,-79.3906811
"2351 KENNEDY (GROUND FLR) RD 105, Toronto ON",500 ,1800,43.7847327,-79.2881438
"1194 WESTON RD W, Toronto ON",1500 ,2800,43.6875044,-79.4915448
"828 COLLEGE ST, Toronto ON",1569 ,3300,43.6546128,-79.4224791
"226 CARLTON ST Bsmt, Toronto ON",1300 ,3300,43.6642046,-79.3693313
"941 KINGSTON RD, Toronto ON",2670 ,29 ,43.6803081,-79.2879897
"1594 QUEEN ST W, Toronto ON",450 ,1500,43.6398312,-79.4414131
"384 YONGE ST 49, Toronto ON",723 ,2090,43.6596017,-79.3826697
"31 ELM ST, Toronto ON",6400 ,40 ,43.6574583,-79.3831522
"1932 Queen St E, Toronto ON",0.02 ,2895,43.6695324,-79.3033725
"3060 Dundas St W, Toronto ON",0.023 ,2600,43.6656718,-79.471597
"41 LEBOVIC AVE A119, Toronto ON",753 ,2200,43.7233319,-79.2889364
"8 MIMICO AVE Main, Toronto ON",1100 ,3500,43.6139127,-79.4897882
"203 MARKHAM RD, Toronto ON",1425 ,2800,43.7437826,-79.2188905
"6210 FINCH AVE W B108, Toronto ON",1720 ,35 ,None,None
"108 CORPORATE DR 7, Toronto ON",250 ,1100,43.780773,-79.2474937
