Address,Area,Rent,Latitude,Longitude,Neighbourhood Number
"40 Sousa Mendes Street, Toronto ON",1000.0,4000.0,43.6613129,-79.45344820000001,93
"890 Dundas St W, Toronto ON",500.0,2650.0,43.65126,-79.4118112,81
"121 - 100 Sunrise Ave, Toronto ON",3729.0,5593.0,43.71744905384615,-79.3105009423077,43
"3440 Sheppard Avenue East, Toronto ON",3400.0,16500.0,43.779482,-79.3052801,118
"119 - 100 Sunrise Ave, Toronto ON",5131.0,7696.0,43.71749226153846,-79.31030527692309,43
"7 - 4 Carlaw Avenue, Toronto ON",5763.0,14407.0,43.65562534,-79.33762326,70
"262 Carlaw Ave, Toronto ON",1506.0,3639.0,43.66300834666666,-79.34106868,70
"703 Bloor Street West, Toronto ON",1868.0,1700.0,43.663599700000006,-79.41764609999998,80
"401 Logan Ave, Toronto ON",2082.0,5378.0,43.6641221,-79.34373790000001,70
"262 Carlaw Ave, Toronto ON",1987.0,4801.0,43.66300834666666,-79.34106868,70
"100 - 142 Cawthra Ave, Toronto ON",1600.0,2600.0,43.67038329690767,-79.46431168476519,90
"111 - 88 Cawthra Ave, Toronto ON",2256.0,3948.0,43.670048200000004,-79.4640386,90
"11 Dublin Street, Toronto ON",22000.0,33000.0,43.654579999999996,-79.4435961,83
"1395 Yonge Street, Toronto ON",1250.0,9166.0,43.687003000000004,-79.39345870000001,98
"M - 17 Church Street, Toronto ON",2000.0,10500.0,43.664426899999995,-79.38040629999999,75
"1110 Yonge St, Toronto ON",1250.0,2900.0,43.67871160000001,-79.39043305384617,95
"16 - 16 Sousa Mendes Street, Toronto ON",1850.0,5550.0,43.6613129,-79.45344820000001,93
"M - 1918 A Queen Street East, Toronto ON",450.0,3600.0,43.66926355714285,-79.30405921428572,63
"2995 Dundas Street West, Toronto ON",4000.0,11000.0,43.665348,-79.46928390000001,90
"40 Sousa Mendes Street, Toronto ON",1000.0,4000.0,43.6613129,-79.45344820000001,93
"890 Dundas St W, Toronto ON",500.0,2650.0,43.65126,-79.4118112,81
"121 - 100 Sunrise Ave, Toronto ON",3729.0,5593.0,43.71744905384615,-79.3105009423077,43
"3440 Sheppard Avenue East, Toronto ON",3400.0,16500.0,43.779482,-79.3052801,118
"119 - 100 Sunrise Ave, Toronto ON",5131.0,7696.0,43.71749226153846,-79.31030527692309,43
"7 - 4 Carlaw Avenue, Toronto ON",5763.0,14407.0,43.65562534,-79.33762326,70
"262 Carlaw Ave, Toronto ON",1506.0,3639.0,43.66300834666666,-79.34106868,70
"703 Bloor Street West, Toronto ON",1868.0,1700.0,43.663599700000006,-79.41764609999998,80
"401 Logan Ave, Toronto ON",2082.0,5378.0,43.6641221,-79.34373790000001,70
"262 Carlaw Ave, Toronto ON",1987.0,4801.0,43.66300834666666,-79.34106868,70
"100 - 142 Cawthra Ave, Toronto ON",1600.0,2600.0,43.67038329690767,-79.46431168476519,90
"111 - 88 Cawthra Ave, Toronto ON",2256.0,3948.0,43.670048200000004,-79.4640386,90
"11 Dublin Street, Toronto ON",22000.0,33000.0,43.654579999999996,-79.4435961,83
"1395 Yonge Street, Toronto ON",1250.0,9166.0,43.687003000000004,-79.39345870000001,98
"M - 17 Church Street, Toronto ON",2000.0,10500.0,43.664426899999995,-79.38040629999999,75
"1110 Yonge St, Toronto ON",1250.0,2900.0,43.67871160000001,-79.39043305384617,95
"16 Sousa Mendes Street, Toronto ON",1850.0,5550.0,43.6613129,-79.45344820000001,93
"M - 1918 A Queen Street East, Toronto ON",450.0,3600.0,43.66926355714285,-79.30405921428572,63
"2995 Dundas Street West, Toronto ON",4000.0,11000.0,43.665348,-79.46928390000001,90
"1333 Kennedy Rd, Toronto ON",16100.0,27503.0,43.76155348695652,-79.27934178695652,126
"1919 Weston Road, Toronto ON",3200.0,6133.0,43.70048189999999,-79.5168679,113
"1420 Kennedy Rd, Toronto ON",1989.0,6337.0,43.7639281,-79.28066159999999,126
"492 Parliament Street, Toronto ON",1050.0,2333.0,43.6648808,-79.3684071,71
"1197 Bloor Street West, Toronto ON",2200.0,6682.0,43.6589335,-79.4394142,83
"1075 Midland Avenue, Toronto ON",120.0,450.0,43.742243725,-79.26114422500002,138
"200 Consumers Rd, Toronto ON",2262.5,7692.0,43.772828999999994,-79.331129,53
"4205 Keele Street, Toronto ON",4461.0,14404.0,43.773926200000005,-79.4922161,27
"1073 Midland Avenue, Toronto ON",2600.0,2220.0,43.74219378125,-79.26112383125,138
"90 Yorkville Ave, Toronto ON",2030.0,25036.0,43.6712821,-79.3920785,95
"70 Yorkville Ave, Toronto ON",816.0,10880.0,43.671292799999996,-79.3910231,95
"2802 Dundas Street West, Toronto ON",1500.0,5250.0,43.6655003,-79.4628088,90
"70 Yorkville Ave, Toronto ON",1509.0,18233.0,43.671292799999996,-79.3910231,95
"3276 Dundas St W, Toronto ON",4400.0,9200.0,43.66569205555556,-79.47949055555556,90
"3300 Dufferin Street, Toronto ON",4179.0,20895.0,43.7216177,-79.4565843,31
"3132 Eglinton Avenue East, Toronto ON",1502.0,5822.0,43.742862,-79.22366618042452,139
